CENSUS_YEAR,DGUID,ALT_GEO_CODE,GEO_LEVEL,GEO_NAME,DATA_QUALITY_FLAG,population_2021,population_density_km2,age_65_plus_pct,average_household_size,median_total_income_2020,low_income_lim_at_pct,renter_households_pct,shelter_cost_30pct_plus_pct,bachelor_or_higher_age25_64_pct,unemployment_rate_pct
2021,2021S05078250050.16,8250050.16,Census tract,8250050.16,00000,5568,2084.7,7.3,2.9,61200,8.2,23.2,23.1,70.8,10.9
2021,2021S05078250050.17,8250050.17,Census tract,8250050.17,00000,5431,1063.9,19.2,2.8,56000,4.4,4.7,12,54.2,11.3
2021,2021S05078250050.18,8250050.18,Census tract,8250050.18,00000,2351,679.3,7.9,3,66000,3.8,5.2,17.4,52.9,10.3
2021,2021S05078250050.19,8250050.19,Census tract,8250050.19,00000,7038,1476,5.9,3.2,57200,5.8,10.8,19.7,62.3,9.6
2021,2021S05078250050.20,8250050.20,Census tract,8250050.20,03939,63,48.4,15.4,1.7,,,100,,42.9,0
2021,2021S05078250050.21,8250050.21,Census tract,8250050.21,00000,2334,2620.7,10.1,3.2,50800,6.1,6.8,15.6,62.9,12.6
2021,2021S05078250050.22,8250050.22,Census tract,8250050.22,00000,4038,2104.7,6.4,3.6,67000,5,6.8,22.9,78.4,12.2
2021,2021S05078250051.00,8250051.00,Census tract,8250051.00,00000,5022,2244.7,15.4,2.1,39600,14.1,47.7,30.9,33.3,13.2
2021,2021S05078250052.01,8250052.01,Census tract,8250052.01,00000,3867,1822.8,22.4,2.3,46400,7.7,24.7,19.1,47.6,15.7
2021,2021S05078250052.02,8250052.02,Census tract,8250052.02,00000,3542,2163.1,20.3,2.6,52400,4,9.6,8.9,46.5,10.5
2021,2021S05078250052.03,8250052.03,Census tract,8250052.03,00000,3626,1058,31.7,2.5,54000,6.4,16.8,18.6,67,12.3
2021,2021S05078250052.04,8250052.04,Census tract,8250052.04,00000,4613,2357.1,27.2,2.2,46400,9,34.1,20.6,63.1,13.9
2021,2021S05078250052.06,8250052.06,Census tract,8250052.06,00000,3938,1526.9,26.7,2.7,54000,3.3,5.1,10.4,59.9,11.4
2021,2021S05078250052.07,8250052.07,Census tract,8250052.07,00000,4088,2074.8,22.6,2.7,50000,5.4,11,15.9,58.5,11.8
2021,2021S05078250052.09,8250052.09,Census tract,8250052.09,00000,6045,4280.6,4.8,3,61200,5,11.8,16.6,55.6,9.1
2021,2021S05078250052.10,8250052.10,Census tract,8250052.10,00000,4806,3510.3,13.7,2.6,50400,6.4,15.7,20.3,52.4,9.9
2021,2021S05078250052.11,8250052.11,Census tract,8250052.11,00000,5087,2092,8.9,3.2,59600,4.2,7.8,12.5,58.1,10.9
2021,2021S05078250052.12,8250052.12,Census tract,8250052.12,00000,4048,429,8.8,3.3,61600,4.1,6.1,11.5,60.1,11.8
2021,2021S05078250053.00,8250053.00,Census tract,8250053.00,00000,6081,1935.1,24.5,2.1,49200,11,32.4,24.5,54.9,11.5
2021,2021S05078250054.00,8250054.00,Census tract,8250054.00,00000,3868,3065.5,14.9,2.2,58400,9.4,40.2,23.7,68.5,10.7
2021,2021S05078250055.00,8250055.00,Census tract,8250055.00,00000,3130,1664.3,25.6,2.5,54400,7.3,27.7,22.5,65.5,7.9
2021,2021S05078250056.00,8250056.00,Census tract,8250056.00,00000,5738,3598.8,11.2,2.2,60400,8.2,41.5,21.7,69.2,8.6
2021,2021S05078250057.00,8250057.00,Census tract,8250057.00,00000,6018,2610.8,16.5,2.1,54800,11.7,43.1,23,65.3,9.6
2021,2021S05078250058.00,8250058.00,Census tract,8250058.00,00000,6615,3375.2,12.6,1.9,50800,10.7,53.4,28.4,65.6,10.8
2021,2021S05078250059.00,8250059.00,Census tract,8250059.00,00000,6876,4460.3,12.9,1.8,48400,12.2,60.3,27.3,52.7,12
2021,2021S05078250060.00,8250060.00,Census tract,8250060.00,00000,5088,2504.9,9.6,2,54800,10.1,43.6,20.7,50.1,11.2
2021,2021S05078250061.00,8250061.00,Census tract,8250061.00,00000,3267,85.7,17.7,2.6,37200,18.7,50.9,27.6,25.9,15.2
2021,2021S05078250062.00,8250062.00,Census tract,8250062.00,00010,5452,3686.3,12,2.1,48400,11.7,45.5,23.1,48.5,12.1
2021,2021S05078250063.00,8250063.00,Census tract,8250063.00,00000,4799,3576.3,9.8,2.3,52800,7.1,41,23.4,56.5,12.8
2021,2021S05078250064.00,8250064.00,Census tract,8250064.00,00010,6135,3113.6,11.3,2.2,43200,13.2,51.3,27.1,51.5,16.3
2021,2021S05078250065.00,8250065.00,Census tract,8250065.00,00000,3832,2675.6,10.2,2.3,37600,13.2,58.3,23.7,62.2,15.7
2021,2021S05078250066.02,8250066.02,Census tract,8250066.02,00000,5422,2495.5,18.3,2.1,39200,14.4,49.5,33.3,59,12.5
2021,2021S05078250066.03,8250066.03,Census tract,8250066.03,00010,4031,2019.7,13.3,2.2,38800,19.2,71.6,34.8,74.3,15.2
2021,2021S05078250066.04,8250066.04,Census tract,8250066.04,02999,343,231.5,2.9,1.2,,,,,,
2021,2021S05078250067.00,8250067.00,Census tract,8250067.00,00000,3292,3709.3,12.4,2.1,35600,22.1,59.1,34.8,63.4,12.4
2021,2021S05078250068.00,8250068.00,Census tract,8250068.00,00000,2746,2569,18.6,2.6,50000,7.2,15.7,16.7,62.6,11.5
2021,2021S05078250069.00,8250069.00,Census tract,8250069.00,00000,2210,2033.1,17,2.5,50000,7,22.2,16.8,56.7,13.9
2021,2021S05078250070.00,8250070.00,Census tract,8250070.00,00000,2335,1422.5,19.1,2.3,44400,10.1,32.7,21,58.9,16
2021,2021S05078250071.00,8250071.00,Census tract,8250071.00,00000,3144,1684.7,13.8,2.3,49200,9,42.8,21.3,47.3,10
2021,2021S05078250072.00,8250072.00,Census tract,8250072.00,00000,6357,2666.4,12.6,2.1,46000,11.9,52.3,23.9,40.6,11.4
2021,2021S05078250073.00,8250073.00,Census tract,8250073.00,00000,2433,2094.3,17.2,1.9,36400,18.8,67.2,26,27.4,17.3
2021,2021S05078250074.00,8250074.00,Census tract,8250074.00,00000,3468,2145.1,15.3,2.4,45600,8.8,30.7,20.3,36.7,13.5
2021,2021S05078250075.01,8250075.01,Census tract,8250075.01,00000,3015,2932.3,14.3,2.4,37200,12.9,45.3,24.1,26.3,18.6
2021,2021S05078250075.02,8250075.02,Census tract,8250075.02,00000,4248,3414.5,12.2,2.3,38000,14.1,53.3,28.8,24.4,17.5
2021,2021S05078250076.01,8250076.01,Census tract,8250076.01,00000,2787,3225.7,19,2.6,38400,12.9,30.3,19,20.7,18.7
2021,2021S05078250076.02,8250076.02,Census tract,8250076.02,00000,3227,2912.7,20.9,2.4,36400,15.6,40.4,26.3,27.2,13.9
2021,2021S05078250076.03,8250076.03,Census tract,8250076.03,00000,4333,2615.4,24.7,2.4,43600,8.6,27.9,15.6,39.9,10.2
2021,2021S05078250076.04,8250076.04,Census tract,8250076.04,00000,3914,2607.4,15.9,2.4,40000,11.3,43.6,21.5,19.5,18
2021,2021S05078250076.05,8250076.05,Census tract,8250076.05,00000,3256,2793.7,16.3,2.5,38800,14.3,43.6,25.4,23.4,17.6
2021,2021S05078250076.06,8250076.06,Census tract,8250076.06,00000,4382,4010.6,14.9,2.6,40400,11.8,32,19.3,26.9,12.5
2021,2021S05078250076.09,8250076.09,Census tract,8250076.09,00000,4795,3090,15.1,2.7,40400,7.5,25.9,20.5,24,14.1
2021,2021S05078250076.13,8250076.13,Census tract,8250076.13,00000,7720,2180.7,10.5,2.9,45600,5.9,13.2,17.8,41.4,12.8
2021,2021S05078250076.14,8250076.14,Census tract,8250076.14,00000,5816,3247.3,21.1,2.7,40000,8.2,17,15,36,13.7
2021,2021S05078250076.15,8250076.15,Census tract,8250076.15,00000,2156,3686.7,15.1,2.6,42000,9,25.5,18.1,26,12.4
2021,2021S05078250076.19,8250076.19,Census tract,8250076.19,00000,3314,2087.8,17,3.3,38400,6.1,10,18.5,39.7,15.1
2021,2021S05078250076.20,8250076.20,Census tract,8250076.20,00000,3702,2034.1,15.9,2.7,42800,7.6,14.9,19.5,37.6,12.5
2021,2021S05078250076.23,8250076.23,Census tract,8250076.23,00000,4629,5084.6,5.6,3.2,45600,6.2,14.7,19.6,27.7,11.3
2021,2021S05078250076.24,8250076.24,Census tract,8250076.24,00000,5502,3663.6,7.6,3.1,42800,5.6,15.2,19.6,29,15.6
2021,2021S05078250076.25,8250076.25,Census tract,8250076.25,00000,3851,3505.7,4.8,3.3,53600,6.2,10.6,25.1,52.5,9.8
2021,2021S05078250076.26,8250076.26,Census tract,8250076.26,00000,7336,4553.1,7.7,3.1,54800,4.9,11.6,23.5,50.4,8.8
2021,2021S05078250076.27,8250076.27,Census tract,8250076.27,00000,4315,3721.1,5.2,3.4,47200,5.9,14.7,20,39.8,10.7
2021,2021S05078250076.28,8250076.28,Census tract,8250076.28,00000,3713,4430.8,7.9,3.2,55200,5.5,9.1,26.8,48.9,8.7
2021,2021S05078250076.29,8250076.29,Census tract,8250076.29,00000,2920,1898.8,4.1,3.1,50800,4.6,8.6,26.6,62.1,9.6
2021,2021S05078250076.30,8250076.30,Census tract,8250076.30,00000,7253,4808.1,7.8,2.9,42000,9.7,34.3,28.5,43.3,13.9
2021,2021S05078250076.31,8250076.31,Census tract,8250076.31,00000,6906,3344.6,9,3.5,42000,6.2,14.5,23.1,52.6,15.7
2021,2021S05078250076.32,8250076.32,Census tract,8250076.32,00000,3857,5796.5,8.3,3.7,38400,5.4,10.8,19.3,44.1,14.8
2021,2021S05078250076.33,8250076.33,Census tract,8250076.33,00000,4164,4592,9.7,3.1,38800,8.5,26.4,23.8,40.3,16.8
2021,2021S05078250076.34,8250076.34,Census tract,8250076.34,00000,3592,4406.3,13.8,2.8,41600,6.7,19.7,14.2,26.8,12.4
2021,2021S05078250076.35,8250076.35,Census tract,8250076.35,00000,4338,988.6,14.6,2.7,45200,6.5,12.4,21.7,35.6,11.4
2021,2021S05078250076.36,8250076.36,Census tract,8250076.36,09999,0,0,,,,,,,,
2021,2021S05078250076.37,8250076.37,Census tract,8250076.37,00000,4846,2089.3,5.2,3.3,44000,5.4,19.8,19.1,31.8,13
2021,2021S05078250076.38,8250076.38,Census tract,8250076.38,00000,2414,3613.2,6.2,3.2,45600,8,18.2,17.6,28.3,10.1
2021,2021S05078250076.39,8250076.39,Census tract,8250076.39,00000,2731,2901.9,36.4,1.8,40400,11.7,34.9,29.1,39,12.2
2021,2021S05078250077.01,8250077.01,Census tract,8250077.01,00000,2428,1673.2,20,2.6,44400,9.5,34.1,19,58.6,11.6
2021,2021S05078250077.02,8250077.02,Census tract,8250077.02,00000,5547,2966,18.1,2.4,38800,14.9,44.4,23.6,50.1,14.9
2021,2021S05078250077.03,8250077.03,Census tract,8250077.03,00000,3070,2088.2,22,2.7,47200,7,18.3,17.3,58.1,10.5
2021,2021S05078250077.04,8250077.04,Census tract,8250077.04,00000,5087,3466.9,12,2.4,40400,13.4,40.8,22.9,35.7,12.5
2021,2021S05078250077.06,8250077.06,Census tract,8250077.06,00000,4208,1811,26.8,2.7,50000,7.7,16.1,17.4,63.5,11.5
2021,2021S05078250077.13,8250077.13,Census tract,8250077.13,00000,3318,2656.7,18.8,2.8,45600,5.6,6.8,10.6,47.9,13.7
